标准商品ID,标准商品,成本价,最低限价,平台,货源商品,货源商,对接码,库存,公开价,商品链接
chatgpt-free-account,ChatGPT 普号,0.3,,链动小铺,GPT Free-账密 AT-长效outlook-适合各类业务,aicloudhub,qtlsucix,65,0.3,https://pay.ldxp.cn/item/lvpw3c
chatgpt-free-account,ChatGPT 普号,0.3,,链动小铺,GPT Free-账密 RT-长效outlook-适合各类业务(可网页反代，除Codex),aicloudhub,qtlsucix,40,0.3,https://pay.ldxp.cn/item/ili2rj
chatgpt-team-business,ChatGPT Team / Business,0.3,,链动小铺,k12 team成品（福利品）,懒羊羊,lanyangyang,90,0.49,https://pay.ldxp.cn/item/deuz36
chatgpt-team-business,ChatGPT Team / Business,0.3,,链动小铺,k12谷歌邮箱，7.19下午新，导入401 售后，只能反代，看清楚描述再下单。,大斑马源头AI【十万人大群保障 招代理支持一件代发】,1908,61,0.32,https://pay.ldxp.cn/item/7qsscm
chatgpt-free-account,ChatGPT 普号,0.35,,链动小铺,gpt free 手机已接码，cpa格式发货，可反代codex,Furry黑历,kazhqiyz,139,0.4,https://pay.ldxp.cn/item/n00dxm
chatgpt-free-account,ChatGPT 普号,0.4,,链动小铺,【Free号】 GPT/Codex 高质量|已绑手机|RT|微软邮箱|动态家宽注册|可邮箱接码,鼎尚AI,DS330,2214,0.4,https://pay.ldxp.cn/item/ev8jgi
chatgpt-team-business,ChatGPT Team / Business,0.4,,链动小铺,高质量谷歌邮箱 K12 成品 JSON 反代 质保首登,AI小铺,z90603bu,187,0.4,https://pay.ldxp.cn/item/75o1in
chatgpt-codex-service,Codex / ChatGPT 周边服务,0.4,5,链动小铺,印度UPI / 巴西 PIX 提链专用卡密 · 共 10 次,YYYYD,lqorbsqm,13,0.5,https://pay.ldxp.cn/item/7a0j2x
chatgpt-free-account,ChatGPT 普号,0.4,,链动小铺,chatgpt 普通账号｜GPT账号（白号）免费账号｜长效微软邮箱交付｜账号密码直登｜gpt专用｜高权重家宽｜独享号｜,AKMOZ.com魔卡AI（销量9k+）只做精品【GPT plus成品号 直充 接码】（无条件质保）,AiMan,60,3,https://pay.ldxp.cn/item/e6w8i7
chatgpt-free-account,ChatGPT 普号,0.45,0.45,链动小铺,【ChatGPT Free号】已绑手机+微软邮箱可接码｜美国家宽注册｜JSON含RT｜支持Codex/5.6-Terra,gpt free旗舰店(已上plus 请代理添加下),9527,127,0.45,https://pay.ldxp.cn/item/aw9rhk
chatgpt-free-account,ChatGPT 普号,0.45,0.45,链动小铺,chatgpt free成品号 icloud邮箱 (未接码),小晨,xczz1219,95,0.45,https://pay.ldxp.cn/item/h1eeg1
chatgpt-free-account,ChatGPT 普号,0.47,,链动小铺,全新微软邮箱，已注册好ChatGPT（不含plus）,AKMOZ.com魔卡AI（销量13k+）只做精品Ai,akmoz,10,1.2,https://pay.ldxp.cn/item/3tv37a
chatgpt-free-account,ChatGPT 普号,0.5,,链动小铺,全新微软空邮箱，用于换绑GPT账号（转移GPT账号用）,AKMOZ.com魔卡AI（销量13k+）只做精品Ai,akmoz,17,1,https://pay.ldxp.cn/item/ami74s
chatgpt-free-account,ChatGPT 普号,0.5,0.69,链动小铺,codex free【接码带rt】,懒羊羊,lanyangyang,110,0.6,https://pay.ldxp.cn/item/xkwc2u
chatgpt-free-account,ChatGPT 普号,0.5,0.5,链动小铺,Gpt Free（双接码 | 反代 | Codex | 网页）| 美国家宽 | outlook | 长效邮箱,AI金牌供应商 | 对接：t2j4ybta,t2j4ybta,1971,0.5,https://pay.ldxp.cn/item/5shqij
chatgpt-free-account,ChatGPT 普号,0.5,0.5,链动小铺,Gpt Free（双接码 | 反代 | Codex | 网页）| outlook | 美国家宽 | 长效邮箱,AI金牌供应商 | 对接：t2j4ybta,t2j4ybta,1986,0.5,https://pay.ldxp.cn/item/vcwsec
chatgpt-team-business,ChatGPT Team / Business,0.6,,链动小铺,【codex-反代】k12team子号成品（只能反代，买错不退）,小票的ai小铺,rdnn91k4,255,0.65,https://pay.ldxp.cn/item/cnoal8
chatgpt-free-account,ChatGPT 普号,0.6,0.6,链动小铺,CHATGPT FREE号 （已经接过码）,金幺の小店,911,96,0.6,https://pay.ldxp.cn/item/64c8ro
chatgpt-free-account,ChatGPT 普号,0.69,0.69,链动小铺,【双接码微软】free（90％可开plus）,7878,dl7vtano,895,0.65,https://pay.ldxp.cn/item/pusudg
chatgpt-free-account,ChatGPT 普号,0.7,0.7,链动小铺,GPT Free的RT 月额度版,ai1998,ai1998,12,0.5,https://pay.ldxp.cn/item/502emq
chatgpt-free-account,ChatGPT 普号,0.79,0.79,链动小铺,【已接码】CHATGPT FREE号 反代专用 发货 json 不会用 不要下 没有账号密码,AI 云智聪聪,u0fffzj6,4,0.79,https://pay.ldxp.cn/item/8swz6z
chatgpt-free-account,ChatGPT 普号,0.8,0.9,链动小铺,ChatGPT free普号 已接码手机号码,岁岁AI小铺（招代理看公告）,j3zq01ry,3,0.6,https://pay.ldxp.cn/item/2c5zl4
chatgpt-free-account,ChatGPT 普号,0.8,,链动小铺,gpt free（免费账号）iCloud邮箱,ai小铺888,ai888,45,1,https://pay.ldxp.cn/item/wztjae
chatgpt-free-account,ChatGPT 普号,0.86,,链动小铺,GPT Free 成品号全格式 Outlook 邮箱｜已接码｜可刷新 RT｜支持 sub / cpa / JSON,NiuGe AI 加钟站,niugestop,243,0.86,https://pay.ldxp.cn/item/fcm0vi
chatgpt-free-account,ChatGPT 普号,0.95,0.95,链动小铺,【普号】Codex手机已验证✅ Codex专用RT Codex/Sub2api/CPA 适配 长效微软邮箱(不包二验),AI 云智聪聪,u0fffzj6,21,0.95,https://pay.ldxp.cn/item/i9g0b0
chatgpt-free-account,ChatGPT 普号,1,1,链动小铺,Chatgpt普通账号,521小店,8sxtawln,15,1,https://pay.ldxp.cn/item/jjso3d
chatgpt-free-account,ChatGPT 普号,1,1,云猫寄售,【普号】GPT,AGI（AI源头批发中心）,agi,21,1,https://catfk.com/item/gfyb1z
chatgpt-team-business,ChatGPT Team / Business,1.1,,链动小铺,"k12渠道的team,有5小时，额度一共100刀，发货格式sub2或acp仅反代（不售后）",青蛙AI·低价源头,qingwaAA,216,1.2,https://pay.ldxp.cn/item/dyjdju
chatgpt-free-account,ChatGPT 普号,1.3,,链动小铺,#完美 周限free(注意是7天刷新一次额度的)1个 已接码，家宽注册，有RT，发json,gptfree,chatgptfree,1,1.3,https://pay.ldxp.cn/item/wdappq
chatgpt-free-account,ChatGPT 普号,1.8,,链动小铺,[普号] ChatGPT——长效微软邮箱,AI源头网,gz6072z3,14,1,https://pay.ldxp.cn/item/5g5o3p
chatgpt-free-account,ChatGPT 普号,2,2,链动小铺,🍃ChatGPT账号普号-GPT账号已绑微软邮箱——质保首登🍃自动发货,叶子🍃谷歌邮箱·GPT批发🍃包登录🍃✈️jinju88,叶子,60,2,https://pay.ldxp.cn/item/4tdiql
chatgpt-free-account,ChatGPT 普号,2.5,,链动小铺,#完美 高额度free 5个 已接码，家宽注册，有RT，质保首登，cpa/sub2api json,gptfree,chatgptfree,21,2.5,https://pay.ldxp.cn/item/ig8k5p
chatgpt-free-account,ChatGPT 普号,2.95,2.95,云猫寄售,gpt普通账号（Mail邮箱，带rt）,金金Ai源头批发（招实力代理）,jinjin,3,2.95,https://catfk.com/item/kw27ur
